"id_vaga","titulo_vaga","modalidade_vaga","nome","codigo_candidato","situacao_candidato","data_candidatura","ultima_atualizacao","comentario","recrutador"
"4530","CONSULTOR CONTROL M","","José Vieira","25632","Encaminhado ao Requisitante","25-03-2021","25-03-2021","Encaminhado para - PJ R$ 72,00/hora","Ana Lívia Moreira"
"4530","CONSULTOR CONTROL M","","Srta. Isabela Cavalcante","25529","Encaminhado ao Requisitante","22-03-2021","23-03-2021","encaminhado para - R$ 6.000,00 – CLT Full , não tem empresa aberta","Ana Lívia Moreira"
"4531","2021-2607395-PeopleSoft Application Engine-Domain Consultant","","Sra. Yasmin Fernandes","25364","Contratado pela Decision","17-03-2021","12-04-2021","Data de Inicio: 12/04/2021","Juliana Cassiano"
"4531","2021-2607395-PeopleSoft Application Engine-Domain Consultant","","Alexia Barbosa","25360","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Juliana Cassiano"
"4533","2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead","","Arthur Almeida","26338","Contratado pela Decision","29-04-2021","18-05-2021","","Stella Vieira"
"4533","2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead","","Dante Sampaio","24645","Desistiu","27-04-2021","27-04-2021","Profissional desistiu da vaga. Motivo : Na verdade pensei melhor e neste momento não seria interessante pra mim a mudança","Yasmin da Rosa"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Ana Luiza Vieira","26361","Documentação PJ","28-04-2021","11-05-2021","Aguardando confirmação de inicio _","Manuella Carvalho"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Isabella da Cruz","26205","Desistiu","23-04-2021","30-04-2021","profissional não atende ou responde ligações, e-mail e whatsApp.","Ana Camargo"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Maria Helena Peixoto","26003","Não Aprovado pelo Cliente","08-04-2021","16-04-2021","""Conversando com a candidata, foi exposto que a mesma não possui experiência em Selenium nem Java, ela possui experiência em tecnologia que não será utilizado no projeto. Diante disso, estamos reprovando candidata para oportunidade de automação de teste""","Carolina Araújo"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Dra. Gabrielly Cassiano","25509","Desistiu","22-03-2021","22-03-2021","No momento não avalia","Dra. Luara Siqueira"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Sra. Maria Sophia Sampaio","23913","Prospect","27-04-2021","27-04-2021","","Manuella Carvalho"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Eloá da Mota","21458","Encaminhado ao Requisitante","30-04-2021","30-04-2021","PJ 45,00/h (processo abertura Ltda). Clt: R$ 6.000,00 Dispo: 15 dias","Stella Vieira"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Luiz Gustavo Dias","13951","Prospect","27-04-2021","27-04-2021","","Manuella Carvalho"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Sr. Benjamin Sampaio","12819","Não Aprovado pelo RH","19-03-2021","22-03-2021","Candidato não soube se expressar muito bem, mas deu a entender que já está participando deste processo seletivo.","Dra. Luara Siqueira"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Bruna Abreu","11132","Encaminhado ao Requisitante","28-04-2021","28-04-2021","","Emanuelly Vieira"
"4534","2021-2605711-Microfocus QTP - UFT Automation Testing","","Gael Nunes","8838","Não Aprovado pelo Cliente","06-04-2021","16-04-2021","Candidato reprovado pelo cliente . Candidato apresentou experiência em Java, porém incompatível com seu salário atual e isso nos acendeu um alerta de que essa experiência possa não estar tão madura quanto precisamos no projeto. Diante disso, estamos","Carolina Araújo"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Arthur Almeida","26338","Aprovado","27-04-2021","28-04-2021","Aprovado para inicio dia 10/05","Stella Vieira"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Srta. Maria Eduarda Farias","25983","Encaminhado ao Requisitante","07-04-2021","07-04-2021","Pretensão R$ 8.000,00 CLT / R$ 66,00 p/h PJ .","Carolina Araújo"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Pietro Nunes","25519","Desistiu","22-03-2021","22-03-2021","No momento não tem interesse","Dra. Luara Siqueira"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Bárbara Nogueira","25454","Não Aprovado pelo Requisitante","19-03-2021","08-04-2021","Avaliação : Candidato possui experiência em VB utilizando UFT, porém não tem experiência em Java, além de estar fora da automação nos últimos 3 anos. Necessário conhecimento em Java de pelo menos 2 anos.","Dra. Luara Siqueira"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Sarah da Mota","25445","Desistiu","19-03-2021","22-03-2021","Só tem interesse fora do horário comercial.","Dra. Luara Siqueira"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Brenda Azevedo","23387","Desistiu","18-03-2021","22-03-2021","No momento não tem interesse.","Dra. Luara Siqueira"
"4535","Microfocus QTP - UFT Automation Testing-Lead-2021-2608031","CLT","Lunna Alves","22977","Contratado pela Decision","27-04-2021","04-05-2021","","Yasmin da Rosa"
"4536","Gestão De Incidentes Field Support - 11755457","","Sr. Cauã Vargas","25362","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Juliana Cassiano"
"4536","Gestão De Incidentes Field Support - 11755457","","Otávio Silveira","25335","Encaminhado ao Requisitante","16-03-2021","16-03-2021","","Juliana Cassiano"
"4536","Gestão De Incidentes Field Support - 11755457","","Juliana Machado","25304","Encaminhado ao Requisitante","14-03-2021","15-03-2021","","Juliana Cassiano"
"4536","Gestão De Incidentes Field Support - 11755457","","Laís Pastor","7714","Encaminhado ao Requisitante","16-03-2021","16-03-2021","","Juliana Cassiano"
"4537","PMO Practitioner - 11744940","","Bárbara Nascimento","25283","Inscrito","13-03-2021","","","Caroline Machado"
